gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000003756	6805.63969474148	-2.58855699360305	0.0658342096939169	-39.3193296560866	0	0
ENSG00000004534	4745.91201943686	-2.70263888180487	0.0688367165891959	-39.2615891012597	0	0
ENSG00000006453	3029.11133217756	3.99041523071806	0.0791377214440524	50.4236811207553	0	0
ENSG00000006555	1159.51533729932	4.46456839969822	0.109428103549653	40.7991023775023	0	0
ENSG00000007968	573.731830135745	5.18681858175973	0.135554886876231	38.2636045168596	0	0
ENSG00000008311	1345.84209920428	-5.61653964741208	0.134001482546417	-41.9140112533199	0	0
ENSG00000011426	1528.7317291497	3.79454166975171	0.0985485618980456	38.5042825249686	0	0
ENSG00000013441	5003.80509138655	-2.77383616441468	0.0721989313095738	-38.4193521164608	0	0
ENSG00000018189	1543.78379489644	-2.77198566003174	0.0735039142063875	-37.7120822742642	0	0
ENSG00000019505	643.081744860592	7.46075206385177	0.188454422287284	39.5891588708831	0	0
ENSG00000024526	912.475416458801	6.56018544053649	0.132238209583983	49.608849523709	0	0
ENSG00000029993	2595.84835701222	3.5293359185533	0.0866357831953274	40.7376235128633	0	0
ENSG00000035499	471.771988917601	5.0462037081705	0.126780489653824	39.8026835355284	0	0
ENSG00000039068	9659.84400320719	4.77910826054867	0.109931569857817	43.4734832471678	0	0
ENSG00000047457	20420.3105354893	7.84034447844353	0.173124858200443	45.2872254160405	0	0
ENSG00000051180	480.515425264066	3.80244996292426	0.0934830661181974	40.6752807841855	0	0
ENSG00000052344	8730.14495448837	6.49899638513576	0.15812495498864	41.1003840956203	0	0
ENSG00000058085	6077.66524925556	5.09625888475553	0.119721652076559	42.5675623110898	0	0
ENSG00000065328	512.240385530995	4.58736606493209	0.12211919935718	37.5646588667416	0	0
ENSG00000065361	6240.833884928	4.9328376394905	0.1270249723884	38.8336052883172	0	0
ENSG00000066279	1018.60071065123	4.64199281937478	0.109979913469582	42.20764204055	0	0
ENSG00000068489	757.587637743911	4.3926908652138	0.094427687309568	46.5190982684239	0	0
ENSG00000071539	1531.22901821158	3.99816875910261	0.0942839480962782	42.4056145275108	0	0
ENSG00000072571	922.18110662844	5.58309515329112	0.116713485269921	47.8359046547124	0	0
ENSG00000073111	5093.23062715384	3.22130695367464	0.0770841885666601	41.7894643969554	0	0
ENSG00000075218	651.147304198434	4.4481812242228	0.109093234105253	40.7741255514636	0	0
ENSG00000075275	6019.06046115026	5.11506343704127	0.115693525945765	44.2121838298809	0	0
ENSG00000075461	2097.99057005443	7.74175280272599	0.195116396709711	39.6776126111223	0	0
ENSG00000076554	4506.22961119749	4.4564993022881	0.0904718491365045	49.2584084974776	0	0
ENSG00000076826	2663.57056977946	4.67386211968189	0.113385140935941	41.2211166392823	0	0
ENSG00000076944	4674.00240920554	3.58806244478909	0.0872202351792568	41.1379588396527	0	0
ENSG00000077152	1251.91471891239	5.42726691007576	0.106227658287559	51.0909022900996	0	0
ENSG00000078081	1154.13614811145	7.56936542801454	0.177144932928082	42.7297879927934	0	0
ENSG00000080986	681.459901355121	4.47660847420429	0.114061378686246	39.2473642328865	0	0
ENSG00000083307	1659.84682692713	6.09023024574234	0.139222934635384	43.7444467155663	0	0
ENSG00000084734	135.597818794012	-6.19129949928902	0.142625274950143	-43.4095534711732	0	0
ENSG00000085276	5210.72123045545	4.06932121912813	0.104827020077117	38.8193923297112	0	0
ENSG00000085552	3893.05392764104	4.72988136081542	0.109677361167728	43.1254117573279	0	0
ENSG00000085999	613.609081367695	4.5347154687121	0.106252788115949	42.6785550677836	0	0
ENSG00000088325	5173.22777748344	6.71760403252773	0.113698354013615	59.0826849764536	0	0
ENSG00000089685	2451.63088554856	6.40216441541358	0.126559135766031	50.5863474545939	0	0
ENSG00000090889	946.070743191419	5.46116071295927	0.112369171308562	48.6001689730637	0	0
ENSG00000092853	339.654819190855	5.24867123271299	0.137013975392756	38.3075610912499	0	0
ENSG00000093009	496.848822499387	5.31523408863844	0.124305368305684	42.7594894821242	0	0
ENSG00000095303	13208.3599270832	5.47722445887665	0.12482769454285	43.8782794069505	0	0
ENSG00000096696	17552.5042331941	4.6306774314724	0.113378573315785	40.8426151083671	0	0
ENSG00000099622	10995.64549175	-3.09001896102216	0.0691208455974435	-44.7045885262788	0	0
ENSG00000099812	2079.01590005136	6.82610622896735	0.137927831589184	49.4904193759733	0	0
ENSG00000099840	320.5015245879	-4.48048195939841	0.112958829952169	-39.6647341451362	0	0
ENSG00000100162	469.857159447705	4.72015538722457	0.118204327125954	39.9321708603353	0	0
ENSG00000100201	32692.0741277268	-2.20033518503999	0.0512610970491924	-42.9240752090899	0	0
ENSG00000100290	608.188260643216	6.15205150009645	0.163174992171676	37.7021712593306	0	0
ENSG00000100526	750.825108023591	4.65613239560272	0.112873958912227	41.2507228458552	0	0
ENSG00000100650	12269.1342392856	-2.5655047828123	0.0577742732828494	-44.4056608077472	0	0
ENSG00000101003	901.640994638083	3.83412991503657	0.0873174247209074	43.9102496127387	0	0
ENSG00000101057	4321.50332044438	7.3484090081369	0.151751821546278	48.4238603086287	0	0
ENSG00000101440	117.719782530098	-6.45503379056367	0.143614365552189	-44.9469923551479	0	0
ENSG00000101443	66603.4649413567	8.7562218849375	0.154939063221577	56.5139720279274	0	0
ENSG00000101447	1437.51093042481	4.93151022227383	0.115673011592916	42.6331964073793	0	0
ENSG00000102362	2365.37286961045	-5.17554684077348	0.101910994052534	-50.7849706392378	0	0
ENSG00000102554	5187.75190720075	3.86294543546778	0.0919500846862922	42.0113309155403	0	0
ENSG00000102854	38846.4577671885	8.16685412627918	0.170297655872376	47.9563508049669	0	0
